Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
Vardas605      Pavarde605     7.73              7.60
Vardas642      Pavarde642     7.72              7.75
Vardas740      Pavarde740     7.72              7.82
Vardas311      Pavarde311     7.71              7.85
Vardas170      Pavarde170     7.71              7.78
Vardas571      Pavarde571     7.67              7.80
Vardas636      Pavarde636     7.66              7.66
Vardas157      Pavarde157     7.65              8.22
Vardas308      Pavarde308     7.64              7.61
Vardas267      Pavarde267     7.64              7.61
Vardas918      Pavarde918     7.63              7.68
Vardas135      Pavarde135     7.63              7.40
Vardas497      Pavarde497     7.62              7.78
Vardas661      Pavarde661     7.62              7.30
Vardas882      Pavarde882     7.61              8.27
Vardas511      Pavarde511     7.61              8.20
Vardas476      Pavarde476     7.58              7.67
Vardas93       Pavarde93      7.58              7.64
Vardas180      Pavarde180     7.56              7.10
Vardas755      Pavarde755     7.55              7.48
Vardas171      Pavarde171     7.55              7.39
Vardas405      Pavarde405     7.54              7.19
Vardas446      Pavarde446     7.54              7.38
Vardas152      Pavarde152     7.54              8.28
Vardas650      Pavarde650     7.53              7.62
Vardas638      Pavarde638     7.53              7.88
Vardas225      Pavarde225     7.53              7.23
Vardas815      Pavarde815     7.53              8.27
Vardas318      Pavarde318     7.51              7.96
Vardas995      Pavarde995     7.51              7.30
Vardas61       Pavarde61      7.51              7.27
Vardas406      Pavarde406     7.51              7.51
Vardas478      Pavarde478     7.49              6.88
Vardas904      Pavarde904     7.48              7.78
Vardas174      Pavarde174     7.48              7.37
Vardas467      Pavarde467     7.47              7.79
Vardas440      Pavarde440     7.46              7.46
Vardas856      Pavarde856     7.46              7.46
Vardas96       Pavarde96      7.46              7.77
Vardas263      Pavarde263     7.46              7.51
Vardas416      Pavarde416     7.44              7.49
Vardas869      Pavarde869     7.44              7.87
Vardas429      Pavarde429     7.43              7.76
Vardas295      Pavarde295     7.43              7.43
Vardas327      Pavarde327     7.41              7.79
Vardas608      Pavarde608     7.41              7.63
Vardas198      Pavarde198     7.41              7.36
Vardas148      Pavarde148     7.39              7.39
Vardas870      Pavarde870     7.39              7.27
Vardas420      Pavarde420     7.39              7.39
Vardas928      Pavarde928     7.38              7.38
Vardas368      Pavarde368     7.38              7.38
Vardas829      Pavarde829     7.38              7.66
Vardas826      Pavarde826     7.37              7.37
Vardas460      Pavarde460     7.36              7.64
Vardas43       Pavarde43      7.36              7.44
Vardas347      Pavarde347     7.36              7.36
Vardas101      Pavarde101     7.36              6.62
Vardas868      Pavarde868     7.36              7.36
Vardas297      Pavarde297     7.35              6.58
Vardas30       Pavarde30      7.35              8.01
Vardas337      Pavarde337     7.34              7.26
Vardas813      Pavarde813     7.34              7.34
Vardas374      Pavarde374     7.34              7.10
Vardas563      Pavarde563     7.33              7.01
Vardas34       Pavarde34      7.32              7.32
Vardas102      Pavarde102     7.32              7.11
Vardas855      Pavarde855     7.31              7.31
Vardas798      Pavarde798     7.30              7.30
Vardas967      Pavarde967     7.28              7.51
Vardas857      Pavarde857     7.27              7.34
Vardas104      Pavarde104     7.26              7.28
Vardas915      Pavarde915     7.25              7.16
Vardas12       Pavarde12      7.25              7.47
Vardas867      Pavarde867     7.24              7.35
Vardas495      Pavarde495     7.23              7.64
Vardas410      Pavarde410     7.22              7.54
Vardas64       Pavarde64      7.21              7.21
Vardas725      Pavarde725     7.21              6.30
Vardas956      Pavarde956     7.20              7.20
Vardas898      Pavarde898     7.20              7.27
Vardas204      Pavarde204     7.19              7.19
Vardas50       Pavarde50      7.18              7.47
Vardas624      Pavarde624     7.18              7.18
Vardas255      Pavarde255     7.16              7.16
Vardas457      Pavarde457     7.14              7.16
Vardas354      Pavarde354     7.14              7.14
Vardas760      Pavarde760     7.13              6.89
Vardas57       Pavarde57      7.12              7.12
Vardas683      Pavarde683     7.12              7.12
Vardas744      Pavarde744     7.11              7.43
Vardas268      Pavarde268     7.11              7.11
Vardas355      Pavarde355     7.11              7.14
Vardas634      Pavarde634     7.10              7.28
Vardas265      Pavarde265     7.09              7.48
Vardas610      Pavarde610     7.09              7.04
Vardas807      Pavarde807     7.07              7.61
Vardas540      Pavarde540     7.06              7.06
Vardas288      Pavarde288     7.05              6.90
Vardas553      Pavarde553     7.05              7.29
Vardas149      Pavarde149     7.04              7.11
Vardas206      Pavarde206     7.04              7.04
Vardas145      Pavarde145     7.03              7.16
Vardas306      Pavarde306     7.03              7.33
Vardas333      Pavarde333     7.02              6.82
Vardas208      Pavarde208     7.02              7.37
Vardas325      Pavarde325     7.01              7.20
Vardas768      Pavarde768     7.01              7.01
Vardas531      Pavarde531     7.00              7.23
Vardas227      Pavarde227     7.00              6.89
Vardas555      Pavarde555     6.99              6.90
Vardas668      Pavarde668     6.99              6.86
Vardas399      Pavarde399     6.99              7.53
Vardas154      Pavarde154     6.98              7.34
Vardas583      Pavarde583     6.98              6.87
Vardas584      Pavarde584     6.98              6.64
Vardas983      Pavarde983     6.98              6.69
Vardas997      Pavarde997     6.97              7.39
Vardas963      Pavarde963     6.96              7.27
Vardas516      Pavarde516     6.96              6.96
Vardas603      Pavarde603     6.96              7.40
Vardas404      Pavarde404     6.94              6.73
Vardas601      Pavarde601     6.94              6.94
Vardas909      Pavarde909     6.94              6.65
Vardas88       Pavarde88      6.94              7.18
Vardas731      Pavarde731     6.92              6.89
Vardas766      Pavarde766     6.92              6.92
Vardas494      Pavarde494     6.91              6.40
Vardas649      Pavarde649     6.90              7.10
Vardas473      Pavarde473     6.90              7.17
Vardas334      Pavarde334     6.89              6.89
Vardas210      Pavarde210     6.89              6.23
Vardas699      Pavarde699     6.89              7.18
Vardas998      Pavarde998     6.89              6.81
Vardas217      Pavarde217     6.89              6.89
Vardas466      Pavarde466     6.88              6.50
Vardas722      Pavarde722     6.87              6.35
Vardas167      Pavarde167     6.87              6.64
Vardas67       Pavarde67      6.86              6.88
Vardas287      Pavarde287     6.86              6.91
Vardas779      Pavarde779     6.86              7.06
Vardas793      Pavarde793     6.83              6.74
Vardas402      Pavarde402     6.83              7.11
Vardas927      Pavarde927     6.83              7.09
Vardas360      Pavarde360     6.83              7.08
Vardas754      Pavarde754     6.83              6.83
Vardas114      Pavarde114     6.81              7.19
Vardas851      Pavarde851     6.81              6.88
Vardas113      Pavarde113     6.80              6.70
Vardas143      Pavarde143     6.78              6.52
Vardas142      Pavarde142     6.77              6.68
Vardas790      Pavarde790     6.77              6.80
Vardas471      Pavarde471     6.75              5.91
Vardas742      Pavarde742     6.75              6.75
Vardas332      Pavarde332     6.75              6.62
Vardas378      Pavarde378     6.74              6.55
Vardas156      Pavarde156     6.74              6.74
Vardas530      Pavarde530     6.73              7.07
Vardas920      Pavarde920     6.73              7.09
Vardas536      Pavarde536     6.72              6.60
Vardas133      Pavarde133     6.72              7.26
Vardas458      Pavarde458     6.71              6.69
Vardas787      Pavarde787     6.69              7.06
Vardas469      Pavarde469     6.69              7.01
Vardas599      Pavarde599     6.68              7.10
Vardas141      Pavarde141     6.68              7.08
Vardas240      Pavarde240     6.67              7.07
Vardas395      Pavarde395     6.67              6.07
Vardas836      Pavarde836     6.66              6.87
Vardas201      Pavarde201     6.66              6.76
Vardas559      Pavarde559     6.66              6.66
Vardas892      Pavarde892     6.65              6.69
Vardas71       Pavarde71      6.65              6.52
Vardas700      Pavarde700     6.65              6.90
Vardas234      Pavarde234     6.63              6.12
Vardas935      Pavarde935     6.63              6.63
Vardas655      Pavarde655     6.62              7.01
Vardas131      Pavarde131     6.61              6.53
Vardas150      Pavarde150     6.61              6.61
Vardas84       Pavarde84      6.61              6.82
Vardas727      Pavarde727     6.60              6.80
Vardas866      Pavarde866     6.59              6.65
Vardas455      Pavarde455     6.59              7.02
Vardas622      Pavarde622     6.58              6.63
Vardas418      Pavarde418     6.58              6.20
Vardas275      Pavarde275     6.56              6.70
Vardas980      Pavarde980     6.56              6.39
Vardas107      Pavarde107     6.54              6.27
Vardas541      Pavarde541     6.53              6.65
Vardas18       Pavarde18      6.49              6.49
Vardas78       Pavarde78      6.49              6.27
Vardas241      Pavarde241     6.49              6.55
Vardas659      Pavarde659     6.47              6.47
Vardas328      Pavarde328     6.47              6.47
Vardas278      Pavarde278     6.47              6.78
Vardas959      Pavarde959     6.46              6.49
Vardas257      Pavarde257     6.46              6.32
Vardas736      Pavarde736     6.46              6.92
Vardas799      Pavarde799     6.45              7.17
Vardas682      Pavarde682     6.45              6.47
Vardas264      Pavarde264     6.44              6.44
Vardas385      Pavarde385     6.44              6.15
Vardas590      Pavarde590     6.43              6.91
Vardas76       Pavarde76      6.41              5.96
Vardas393      Pavarde393     6.41              6.48
Vardas196      Pavarde196     6.41              6.69
Vardas702      Pavarde702     6.40              6.35
Vardas912      Pavarde912     6.40              6.76
Vardas585      Pavarde585     6.40              6.32
Vardas654      Pavarde654     6.39              6.04
Vardas487      Pavarde487     6.38              6.20
Vardas729      Pavarde729     6.38              6.31
Vardas444      Pavarde444     6.38              6.66
Vardas931      Pavarde931     6.37              6.37
Vardas827      Pavarde827     6.36              6.52
Vardas695      Pavarde695     6.34              6.76
Vardas245      Pavarde245     6.34              6.13
Vardas775      Pavarde775     6.34              6.67
Vardas632      Pavarde632     6.33              6.62
Vardas539      Pavarde539     6.33              6.44
Vardas746      Pavarde746     6.32              6.04
Vardas237      Pavarde237     6.32              6.72
Vardas251      Pavarde251     6.32              5.84
Vardas953      Pavarde953     6.31              5.54
Vardas166      Pavarde166     6.30              6.30
Vardas94       Pavarde94      6.29              6.15
Vardas323      Pavarde323     6.29              6.12
Vardas258      Pavarde258     6.29              7.10
Vardas930      Pavarde930     6.29              6.29
Vardas407      Pavarde407     6.26              6.26
Vardas732      Pavarde732     6.24              6.26
Vardas25       Pavarde25      6.24              6.24
Vardas77       Pavarde77      6.24              6.36
Vardas769      Pavarde769     6.24              6.12
Vardas556      Pavarde556     6.24              5.99
Vardas62       Pavarde62      6.23              6.94
Vardas623      Pavarde623     6.23              6.23
Vardas432      Pavarde432     6.22              6.45
Vardas147      Pavarde147     6.22              6.22
Vardas965      Pavarde965     6.21              6.21
Vardas724      Pavarde724     6.20              5.97
Vardas940      Pavarde940     6.20              6.12
Vardas586      Pavarde586     6.19              6.19
Vardas708      Pavarde708     6.19              5.94
Vardas873      Pavarde873     6.19              6.19
Vardas74       Pavarde74      6.18              6.37
Vardas85       Pavarde85      6.18              6.18
Vardas31       Pavarde31      6.17              6.17
Vardas489      Pavarde489     6.17              6.11
Vardas753      Pavarde753     6.17              6.17
Vardas70       Pavarde70      6.17              5.84
Vardas507      Pavarde507     6.16              6.16
Vardas620      Pavarde620     6.16              6.50
Vardas370      Pavarde370     6.16              6.15
Vardas641      Pavarde641     6.16              6.06
Vardas236      Pavarde236     6.14              6.22
Vardas253      Pavarde253     6.14              6.38
Vardas662      Pavarde662     6.14              6.09
Vardas932      Pavarde932     6.13              6.24
Vardas269      Pavarde269     6.13              6.12
Vardas803      Pavarde803     6.13              6.13
Vardas864      Pavarde864     6.13              6.06
Vardas551      Pavarde551     6.11              6.29
Vardas20       Pavarde20      6.10              6.10
Vardas439      Pavarde439     6.09              6.09
Vardas763      Pavarde763     6.08              6.04
Vardas529      Pavarde529     6.08              6.08
Vardas118      Pavarde118     6.08              5.75
Vardas522      Pavarde522     6.07              6.08
Vardas286      Pavarde286     6.06              6.06
Vardas694      Pavarde694     6.06              6.01
Vardas791      Pavarde791     6.06              6.17
Vardas176      Pavarde176     6.06              6.06
Vardas137      Pavarde137     6.05              6.05
Vardas884      Pavarde884     6.04              6.00
Vardas493      Pavarde493     6.03              6.36
Vardas606      Pavarde606     6.03              6.30
Vardas394      Pavarde394     6.02              6.12
Vardas367      Pavarde367     6.02              5.59
Vardas312      Pavarde312     6.01              6.01
Vardas266      Pavarde266     6.01              5.88
Vardas195      Pavarde195     6.00              6.00
Vardas517      Pavarde517     5.98              6.09
Vardas28       Pavarde28      5.98              6.02
Vardas961      Pavarde961     5.96              6.32
Vardas329      Pavarde329     5.95              6.25
Vardas874      Pavarde874     5.94              6.10
Vardas468      Pavarde468     5.93              5.93
Vardas721      Pavarde721     5.93              5.48
Vardas181      Pavarde181     5.93              6.18
Vardas342      Pavarde342     5.90              5.99
Vardas186      Pavarde186     5.90              5.54
Vardas235      Pavarde235     5.90              5.43
Vardas781      Pavarde781     5.89              5.65
Vardas192      Pavarde192     5.89              5.40
Vardas500      Pavarde500     5.89              5.88
Vardas89       Pavarde89      5.89              6.10
Vardas445      Pavarde445     5.88              5.62
Vardas91       Pavarde91      5.88              5.88
Vardas756      Pavarde756     5.88              5.59
Vardas73       Pavarde73      5.87              6.32
Vardas808      Pavarde808     5.87              6.06
Vardas533      Pavarde533     5.86              6.00
Vardas567      Pavarde567     5.86              5.76
Vardas878      Pavarde878     5.86              5.53
Vardas261      Pavarde261     5.85              5.83
Vardas604      Pavarde604     5.84              5.90
Vardas796      Pavarde796     5.84              5.86
Vardas888      Pavarde888     5.81              5.21
Vardas11       Pavarde11      5.80              6.08
Vardas513      Pavarde513     5.79              5.86
Vardas745      Pavarde745     5.79              5.30
Vardas302      Pavarde302     5.79              6.09
Vardas569      Pavarde569     5.79              5.84
Vardas421      Pavarde421     5.77              5.77
Vardas629      Pavarde629     5.77              6.16
Vardas314      Pavarde314     5.75              5.78
Vardas660      Pavarde660     5.74              6.11
Vardas427      Pavarde427     5.74              5.76
Vardas417      Pavarde417     5.74              5.65
Vardas616      Pavarde616     5.74              5.71
Vardas81       Pavarde81      5.74              5.82
Vardas435      Pavarde435     5.73              5.39
Vardas224      Pavarde224     5.73              5.73
Vardas106      Pavarde106     5.73              6.18
Vardas704      Pavarde704     5.72              6.10
Vardas902      Pavarde902     5.72              5.97
Vardas254      Pavarde254     5.70              5.52
Vardas996      Pavarde996     5.70              5.74
Vardas707      Pavarde707     5.69              5.59
Vardas422      Pavarde422     5.67              4.98
Vardas357      Pavarde357     5.66              6.16
Vardas894      Pavarde894     5.66              5.08
Vardas95       Pavarde95      5.66              5.66
Vardas371      Pavarde371     5.66              5.66
Vardas6        Pavarde6       5.65              5.79
Vardas382      Pavarde382     5.65              5.62
Vardas858      Pavarde858     5.64              5.34
Vardas720      Pavarde720     5.63              5.48
Vardas964      Pavarde964     5.63              5.19
Vardas903      Pavarde903     5.59              5.90
Vardas565      Pavarde565     5.59              5.59
Vardas80       Pavarde80      5.59              6.13
Vardas578      Pavarde578     5.58              5.58
Vardas646      Pavarde646     5.58              5.58
Vardas972      Pavarde972     5.58              6.10
Vardas697      Pavarde697     5.56              5.87
Vardas303      Pavarde303     5.56              5.84
Vardas973      Pavarde973     5.55              5.31
Vardas130      Pavarde130     5.53              5.70
Vardas947      Pavarde947     5.53              5.58
Vardas366      Pavarde366     5.53              5.93
Vardas125      Pavarde125     5.52              5.45
Vardas810      Pavarde810     5.51              5.26
Vardas594      Pavarde594     5.51              5.03
Vardas123      Pavarde123     5.51              5.52
Vardas691      Pavarde691     5.51              5.24
Vardas1        Pavarde1       5.50              5.68
Vardas146      Pavarde146     5.50              5.57
Vardas881      Pavarde881     5.49              6.14
Vardas463      Pavarde463     5.49              5.70
Vardas140      Pavarde140     5.48              5.76
Vardas728      Pavarde728     5.48              5.22
Vardas293      Pavarde293     5.47              5.78
Vardas291      Pavarde291     5.46              5.31
Vardas896      Pavarde896     5.46              5.92
Vardas121      Pavarde121     5.46              5.56
Vardas173      Pavarde173     5.46              5.48
Vardas848      Pavarde848     5.45              5.45
Vardas448      Pavarde448     5.44              5.04
Vardas499      Pavarde499     5.43              5.08
Vardas134      Pavarde134     5.42              5.31
Vardas16       Pavarde16      5.41              5.41
Vardas916      Pavarde916     5.41              5.61
Vardas589      Pavarde589     5.41              5.41
Vardas759      Pavarde759     5.40              5.69
Vardas259      Pavarde259     5.39              5.62
Vardas15       Pavarde15      5.39              5.29
Vardas498      Pavarde498     5.39              5.38
Vardas863      Pavarde863     5.39              5.69
Vardas834      Pavarde834     5.39              5.39
Vardas319      Pavarde319     5.38              5.42
Vardas472      Pavarde472     5.38              5.15
Vardas320      Pavarde320     5.38              5.25
Vardas758      Pavarde758     5.38              5.96
Vardas276      Pavarde276     5.37              5.37
Vardas653      Pavarde653     5.37              5.33
Vardas712      Pavarde712     5.37              5.32
Vardas362      Pavarde362     5.37              5.37
Vardas492      Pavarde492     5.36              5.25
Vardas510      Pavarde510     5.36              5.47
Vardas183      Pavarde183     5.35              5.46
Vardas179      Pavarde179     5.35              5.35
Vardas880      Pavarde880     5.34              5.20
Vardas765      Pavarde765     5.34              5.05
Vardas431      Pavarde431     5.34              5.41
Vardas21       Pavarde21      5.32              5.22
Vardas837      Pavarde837     5.32              5.53
Vardas861      Pavarde861     5.32              5.30
Vardas687      Pavarde687     5.31              5.31
Vardas482      Pavarde482     5.31              5.39
Vardas809      Pavarde809     5.30              5.30
Vardas627      Pavarde627     5.30              5.41
Vardas233      Pavarde233     5.30              5.30
Vardas860      Pavarde860     5.30              5.13
Vardas816      Pavarde816     5.29              4.96
Vardas663      Pavarde663     5.29              5.34
Vardas676      Pavarde676     5.28              5.28
Vardas277      Pavarde277     5.26              5.26
Vardas630      Pavarde630     5.26              5.26
Vardas877      Pavarde877     5.26              5.18
Vardas58       Pavarde58      5.26              5.04
Vardas13       Pavarde13      5.25              5.08
Vardas788      Pavarde788     5.25              5.19
Vardas419      Pavarde419     5.25              5.25
Vardas994      Pavarde994     5.25              5.20
Vardas782      Pavarde782     5.25              5.04
Vardas785      Pavarde785     5.25              5.54
Vardas715      Pavarde715     5.24              4.68
Vardas479      Pavarde479     5.23              5.41
Vardas310      Pavarde310     5.22              5.22
Vardas97       Pavarde97      5.22              5.16
Vardas778      Pavarde778     5.20              5.20
Vardas557      Pavarde557     5.19              5.19
Vardas938      Pavarde938     5.18              5.29
Vardas954      Pavarde954     5.17              5.45
Vardas350      Pavarde350     5.17              4.94
Vardas164      Pavarde164     5.17              5.33
Vardas823      Pavarde823     5.17              5.17
Vardas820      Pavarde820     5.17              5.76
Vardas971      Pavarde971     5.17              5.26
Vardas640      Pavarde640     5.16              5.16
Vardas951      Pavarde951     5.16              5.34
Vardas795      Pavarde795     5.15              5.01
Vardas512      Pavarde512     5.15              5.17
Vardas592      Pavarde592     5.15              5.15
Vardas447      Pavarde447     5.15              5.24
Vardas335      Pavarde335     5.14              5.05
Vardas850      Pavarde850     5.14              5.04
Vardas645      Pavarde645     5.14              5.48
Vardas163      Pavarde163     5.13              5.04
Vardas496      Pavarde496     5.13              5.17
Vardas875      Pavarde875     5.13              5.13
Vardas22       Pavarde22      5.13              5.05
Vardas116      Pavarde116     5.12              5.12
Vardas63       Pavarde63      5.12              5.23
Vardas573      Pavarde573     5.11              5.30
Vardas690      Pavarde690     5.11              5.11
Vardas486      Pavarde486     5.10              5.13
Vardas425      Pavarde425     5.09              4.64
Vardas272      Pavarde272     5.09              5.07
Vardas989      Pavarde989     5.09              4.87
Vardas532      Pavarde532     5.08              5.41
Vardas777      Pavarde777     5.05              5.01
Vardas560      Pavarde560     5.05              5.00
Vardas976      Pavarde976     5.04              5.34
Vardas273      Pavarde273     5.03              5.03
Vardas538      Pavarde538     5.00              5.24
Vardas984      Pavarde984     5.00              5.05
Vardas434      Pavarde434     4.99              4.92
Vardas842      Pavarde842     4.99              4.78
Vardas981      Pavarde981     4.97              4.84
Vardas911      Pavarde911     4.96              4.66
Vardas262      Pavarde262     4.96              4.99
Vardas692      Pavarde692     4.96              5.06
Vardas243      Pavarde243     4.95              4.83
Vardas835      Pavarde835     4.94              4.66
Vardas304      Pavarde304     4.94              5.30
Vardas207      Pavarde207     4.94              4.78
Vardas562      Pavarde562     4.93              4.98
Vardas709      Pavarde709     4.93              4.97
Vardas792      Pavarde792     4.93              5.12
Vardas29       Pavarde29      4.92              4.88
Vardas451      Pavarde451     4.90              4.63
Vardas437      Pavarde437     4.89              5.12
Vardas508      Pavarde508     4.86              5.06
Vardas988      Pavarde988     4.85              5.08
Vardas757      Pavarde757     4.85              4.80
Vardas899      Pavarde899     4.84              4.84
Vardas409      Pavarde409     4.84              4.91
Vardas90       Pavarde90      4.84              5.31
Vardas453      Pavarde453     4.81              4.63
Vardas92       Pavarde92      4.80              4.54
Vardas65       Pavarde65      4.80              4.80
Vardas871      Pavarde871     4.80              4.80
Vardas39       Pavarde39      4.79              4.64
Vardas51       Pavarde51      4.78              4.75
Vardas44       Pavarde44      4.78              4.75
Vardas490      Pavarde490     4.74              4.70
Vardas160      Pavarde160     4.72              4.46
Vardas680      Pavarde680     4.70              4.63
Vardas411      Pavarde411     4.69              4.69
Vardas598      Pavarde598     4.68              4.47
Vardas859      Pavarde859     4.68              4.72
Vardas684      Pavarde684     4.68              4.28
Vardas703      Pavarde703     4.68              4.58
Vardas330      Pavarde330     4.68              4.94
Vardas845      Pavarde845     4.67              4.59
Vardas987      Pavarde987     4.66              4.66
Vardas480      Pavarde480     4.66              4.34
Vardas247      Pavarde247     4.66              4.59
Vardas59       Pavarde59      4.65              4.49
Vardas914      Pavarde914     4.65              4.65
Vardas462      Pavarde462     4.65              4.78
Vardas675      Pavarde675     4.65              4.59
Vardas442      Pavarde442     4.63              4.38
Vardas901      Pavarde901     4.62              5.03
Vardas223      Pavarde223     4.61              4.32
Vardas197      Pavarde197     4.59              4.80
Vardas363      Pavarde363     4.59              4.63
Vardas138      Pavarde138     4.58              4.58
Vardas975      Pavarde975     4.58              4.17
Vardas780      Pavarde780     4.58              4.65
Vardas635      Pavarde635     4.57              4.64
Vardas587      Pavarde587     4.57              4.55
Vardas72       Pavarde72      4.56              4.35
Vardas741      Pavarde741     4.56              4.59
Vardas373      Pavarde373     4.55              4.72
Vardas376      Pavarde376     4.54              4.36
Vardas56       Pavarde56      4.53              4.43
Vardas897      Pavarde897     4.53              4.64
Vardas919      Pavarde919     4.52              4.32
Vardas906      Pavarde906     4.50              4.47
Vardas841      Pavarde841     4.50              4.64
Vardas804      Pavarde804     4.50              4.33
Vardas316      Pavarde316     4.49              4.44
Vardas852      Pavarde852     4.49              4.07
Vardas239      Pavarde239     4.48              4.48
Vardas527      Pavarde527     4.47              4.15
Vardas153      Pavarde153     4.44              4.69
Vardas568      Pavarde568     4.43              4.19
Vardas398      Pavarde398     4.43              4.16
Vardas375      Pavarde375     4.42              4.29
Vardas784      Pavarde784     4.42              4.61
Vardas214      Pavarde214     4.42              4.69
Vardas202      Pavarde202     4.42              4.26
Vardas389      Pavarde389     4.41              4.42
Vardas317      Pavarde317     4.41              4.21
Vardas364      Pavarde364     4.40              4.16
Vardas87       Pavarde87      4.40              4.40
Vardas546      Pavarde546     4.39              4.57
Vardas348      Pavarde348     4.38              4.38
Vardas833      Pavarde833     4.38              4.38
Vardas115      Pavarde115     4.38              3.86
Vardas285      Pavarde285     4.38              4.10
Vardas943      Pavarde943     4.38              4.28
Vardas701      Pavarde701     4.37              4.39
Vardas944      Pavarde944     4.37              4.39
Vardas652      Pavarde652     4.37              4.12
Vardas339      Pavarde339     4.36              4.09
Vardas165      Pavarde165     4.36              4.18
Vardas595      Pavarde595     4.36              4.36
Vardas611      Pavarde611     4.35              4.21
Vardas600      Pavarde600     4.35              5.00
Vardas819      Pavarde819     4.34              4.26
Vardas127      Pavarde127     4.34              4.34
Vardas461      Pavarde461     4.34              4.35
Vardas184      Pavarde184     4.34              4.22
Vardas168      Pavarde168     4.34              4.34
Vardas41       Pavarde41      4.34              4.31
Vardas383      Pavarde383     4.33              4.33
Vardas189      Pavarde189     4.32              4.38
