Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
Vardas761      Pavarde761     7.75              7.77
Vardas530      Pavarde530     7.75              7.40
Vardas374      Pavarde374     7.74              7.74
Vardas695      Pavarde695     7.74              7.58
Vardas649      Pavarde649     7.74              8.01
Vardas428      Pavarde428     7.72              7.95
Vardas870      Pavarde870     7.72              7.49
Vardas853      Pavarde853     7.71              7.40
Vardas989      Pavarde989     7.70              7.53
Vardas688      Pavarde688     7.70              7.48
Vardas426      Pavarde426     7.67              8.01
Vardas145      Pavarde145     7.67              7.67
Vardas444      Pavarde444     7.65              7.91
Vardas790      Pavarde790     7.64              7.57
Vardas587      Pavarde587     7.62              7.62
Vardas434      Pavarde434     7.62              7.19
Vardas493      Pavarde493     7.61              7.71
Vardas387      Pavarde387     7.61              8.10
Vardas84       Pavarde84      7.61              7.88
Vardas683      Pavarde683     7.61              8.13
Vardas365      Pavarde365     7.60              7.83
Vardas486      Pavarde486     7.60              7.91
Vardas507      Pavarde507     7.59              7.64
Vardas299      Pavarde299     7.59              7.96
Vardas179      Pavarde179     7.58              7.60
Vardas282      Pavarde282     7.58              8.04
Vardas86       Pavarde86      7.58              7.91
Vardas713      Pavarde713     7.58              7.80
Vardas4        Pavarde4       7.58              7.59
Vardas333      Pavarde333     7.57              7.76
Vardas70       Pavarde70      7.57              7.64
Vardas642      Pavarde642     7.57              7.53
Vardas209      Pavarde209     7.56              7.31
Vardas598      Pavarde598     7.55              7.58
Vardas219      Pavarde219     7.55              7.41
Vardas847      Pavarde847     7.55              7.56
Vardas11       Pavarde11      7.54              7.81
Vardas242      Pavarde242     7.54              7.37
Vardas610      Pavarde610     7.52              7.44
Vardas763      Pavarde763     7.52              7.38
Vardas595      Pavarde595     7.50              7.70
Vardas785      Pavarde785     7.49              7.60
Vardas716      Pavarde716     7.49              7.80
Vardas319      Pavarde319     7.49              7.25
Vardas68       Pavarde68      7.49              7.81
Vardas167      Pavarde167     7.49              7.22
Vardas654      Pavarde654     7.48              7.38
Vardas224      Pavarde224     7.48              7.34
Vardas399      Pavarde399     7.48              7.31
Vardas604      Pavarde604     7.47              7.21
Vardas435      Pavarde435     7.46              6.67
Vardas452      Pavarde452     7.45              7.56
Vardas235      Pavarde235     7.45              7.84
Vardas321      Pavarde321     7.45              7.79
Vardas734      Pavarde734     7.45              7.31
Vardas776      Pavarde776     7.43              8.35
Vardas892      Pavarde892     7.42              7.42
Vardas527      Pavarde527     7.41              7.85
Vardas893      Pavarde893     7.40              7.52
Vardas328      Pavarde328     7.39              7.25
Vardas357      Pavarde357     7.38              6.88
Vardas312      Pavarde312     7.37              7.37
Vardas308      Pavarde308     7.36              7.36
Vardas925      Pavarde925     7.35              7.16
Vardas2        Pavarde2       7.35              7.94
Vardas753      Pavarde753     7.35              7.35
Vardas758      Pavarde758     7.34              7.10
Vardas215      Pavarde215     7.33              7.39
Vardas271      Pavarde271     7.32              7.61
Vardas791      Pavarde791     7.32              7.32
Vardas564      Pavarde564     7.31              6.78
Vardas692      Pavarde692     7.30              7.38
Vardas911      Pavarde911     7.30              7.38
Vardas766      Pavarde766     7.30              7.30
Vardas468      Pavarde468     7.29              7.34
Vardas27       Pavarde27      7.29              7.11
Vardas981      Pavarde981     7.27              7.27
Vardas955      Pavarde955     7.27              6.36
Vardas902      Pavarde902     7.27              7.38
Vardas521      Pavarde521     7.26              7.67
Vardas418      Pavarde418     7.26              6.79
Vardas632      Pavarde632     7.25              6.64
Vardas40       Pavarde40      7.25              7.04
Vardas433      Pavarde433     7.24              8.01
Vardas60       Pavarde60      7.23              6.93
Vardas922      Pavarde922     7.22              7.22
Vardas156      Pavarde156     7.22              7.22
Vardas5        Pavarde5       7.22              7.39
Vardas963      Pavarde963     7.22              8.12
Vardas58       Pavarde58      7.22              7.84
Vardas710      Pavarde710     7.21              7.21
Vardas846      Pavarde846     7.20              7.70
Vardas789      Pavarde789     7.19              7.52
Vardas218      Pavarde218     7.19              6.42
Vardas316      Pavarde316     7.18              7.18
Vardas505      Pavarde505     7.18              6.91
Vardas759      Pavarde759     7.18              7.56
Vardas139      Pavarde139     7.17              7.24
Vardas447      Pavarde447     7.16              6.82
Vardas934      Pavarde934     7.16              6.98
Vardas926      Pavarde926     7.16              7.28
Vardas916      Pavarde916     7.15              7.45
Vardas461      Pavarde461     7.15              7.22
Vardas75       Pavarde75      7.14              6.71
Vardas839      Pavarde839     7.14              7.25
Vardas747      Pavarde747     7.12              7.37
Vardas278      Pavarde278     7.12              7.12
Vardas960      Pavarde960     7.12              7.26
Vardas462      Pavarde462     7.11              7.22
Vardas657      Pavarde657     7.11              7.11
Vardas986      Pavarde986     7.10              6.84
Vardas857      Pavarde857     7.10              6.98
Vardas838      Pavarde838     7.09              7.05
Vardas284      Pavarde284     7.09              7.09
Vardas858      Pavarde858     7.08              6.99
Vardas45       Pavarde45      7.08              6.69
Vardas696      Pavarde696     7.08              7.13
Vardas359      Pavarde359     7.07              7.07
Vardas296      Pavarde296     7.07              7.22
Vardas815      Pavarde815     7.07              7.26
Vardas536      Pavarde536     7.06              7.00
Vardas280      Pavarde280     7.06              6.96
Vardas819      Pavarde819     7.06              7.51
Vardas494      Pavarde494     7.06              7.06
Vardas957      Pavarde957     7.04              7.47
Vardas259      Pavarde259     7.03              7.03
Vardas804      Pavarde804     7.03              7.03
Vardas875      Pavarde875     7.02              7.54
Vardas205      Pavarde205     7.02              7.09
Vardas770      Pavarde770     7.02              7.02
Vardas644      Pavarde644     7.02              7.02
Vardas807      Pavarde807     7.02              7.60
Vardas56       Pavarde56      7.00              7.04
Vardas396      Pavarde396     7.00              7.00
Vardas996      Pavarde996     6.99              6.99
Vardas267      Pavarde267     6.99              6.78
Vardas723      Pavarde723     6.98              7.12
Vardas888      Pavarde888     6.98              7.68
Vardas848      Pavarde848     6.97              6.92
Vardas450      Pavarde450     6.97              6.64
Vardas339      Pavarde339     6.97              7.02
Vardas891      Pavarde891     6.96              7.42
Vardas281      Pavarde281     6.95              6.65
Vardas582      Pavarde582     6.95              6.95
Vardas422      Pavarde422     6.92              6.72
Vardas425      Pavarde425     6.90              6.72
Vardas291      Pavarde291     6.89              6.96
Vardas241      Pavarde241     6.89              6.89
Vardas377      Pavarde377     6.89              6.95
Vardas570      Pavarde570     6.88              6.42
Vardas338      Pavarde338     6.87              7.04
Vardas119      Pavarde119     6.87              7.06
Vardas918      Pavarde918     6.86              6.90
Vardas230      Pavarde230     6.84              6.10
Vardas360      Pavarde360     6.83              7.10
Vardas157      Pavarde157     6.82              7.06
Vardas466      Pavarde466     6.81              6.80
Vardas133      Pavarde133     6.79              6.99
Vardas509      Pavarde509     6.77              6.77
Vardas669      Pavarde669     6.76              6.77
Vardas123      Pavarde123     6.74              7.19
Vardas917      Pavarde917     6.74              6.80
Vardas783      Pavarde783     6.73              6.68
Vardas175      Pavarde175     6.72              6.33
Vardas269      Pavarde269     6.72              6.72
Vardas944      Pavarde944     6.70              6.36
Vardas273      Pavarde273     6.69              6.69
Vardas698      Pavarde698     6.68              6.48
Vardas250      Pavarde250     6.68              7.28
Vardas456      Pavarde456     6.67              7.15
Vardas491      Pavarde491     6.66              6.84
Vardas193      Pavarde193     6.66              7.00
Vardas168      Pavarde168     6.66              6.73
Vardas889      Pavarde889     6.65              6.16
Vardas624      Pavarde624     6.64              6.84
Vardas416      Pavarde416     6.62              6.22
Vardas648      Pavarde648     6.62              6.24
Vardas652      Pavarde652     6.61              6.61
Vardas301      Pavarde301     6.61              6.90
Vardas726      Pavarde726     6.61              6.99
Vardas529      Pavarde529     6.60              6.60
Vardas574      Pavarde574     6.59              7.09
Vardas987      Pavarde987     6.58              6.55
Vardas664      Pavarde664     6.57              6.57
Vardas774      Pavarde774     6.56              6.59
Vardas532      Pavarde532     6.55              7.15
Vardas700      Pavarde700     6.55              6.21
Vardas342      Pavarde342     6.55              6.58
Vardas720      Pavarde720     6.55              6.17
Vardas288      Pavarde288     6.54              6.40
Vardas976      Pavarde976     6.54              6.39
Vardas150      Pavarde150     6.54              7.04
Vardas712      Pavarde712     6.54              6.11
Vardas855      Pavarde855     6.54              6.49
Vardas7        Pavarde7       6.53              6.38
Vardas737      Pavarde737     6.52              6.84
Vardas460      Pavarde460     6.52              6.52
Vardas585      Pavarde585     6.50              6.47
Vardas739      Pavarde739     6.50              6.64
Vardas503      Pavarde503     6.50              6.77
Vardas796      Pavarde796     6.50              6.64
Vardas641      Pavarde641     6.49              6.66
Vardas639      Pavarde639     6.49              6.55
Vardas67       Pavarde67      6.48              7.32
Vardas57       Pavarde57      6.47              6.42
Vardas845      Pavarde845     6.46              6.49
Vardas19       Pavarde19      6.45              6.58
Vardas822      Pavarde822     6.43              6.67
Vardas729      Pavarde729     6.43              5.63
Vardas33       Pavarde33      6.43              6.69
Vardas262      Pavarde262     6.42              5.58
Vardas473      Pavarde473     6.41              6.41
Vardas762      Pavarde762     6.39              6.66
Vardas990      Pavarde990     6.38              6.38
Vardas886      Pavarde886     6.38              6.71
Vardas653      Pavarde653     6.37              6.22
Vardas9        Pavarde9       6.37              6.54
Vardas665      Pavarde665     6.37              6.39
Vardas61       Pavarde61      6.36              5.83
Vardas380      Pavarde380     6.36              6.31
Vardas861      Pavarde861     6.34              6.34
Vardas482      Pavarde482     6.34              6.34
Vardas864      Pavarde864     6.33              6.06
Vardas871      Pavarde871     6.33              6.42
Vardas740      Pavarde740     6.31              6.38
Vardas191      Pavarde191     6.31              6.31
Vardas677      Pavarde677     6.30              6.30
Vardas389      Pavarde389     6.29              6.19
Vardas406      Pavarde406     6.28              6.28
Vardas160      Pavarde160     6.28              6.28
Vardas623      Pavarde623     6.28              6.33
Vardas558      Pavarde558     6.28              6.28
Vardas25       Pavarde25      6.27              6.56
Vardas945      Pavarde945     6.26              6.26
Vardas510      Pavarde510     6.26              5.90
Vardas94       Pavarde94      6.24              6.24
Vardas194      Pavarde194     6.24              6.05
Vardas816      Pavarde816     6.23              6.27
Vardas663      Pavarde663     6.23              6.23
Vardas476      Pavarde476     6.23              6.34
Vardas707      Pavarde707     6.22              5.94
Vardas937      Pavarde937     6.22              6.03
Vardas680      Pavarde680     6.20              6.27
Vardas22       Pavarde22      6.20              6.82
Vardas358      Pavarde358     6.19              6.19
Vardas501      Pavarde501     6.19              6.19
Vardas32       Pavarde32      6.19              6.34
Vardas921      Pavarde921     6.18              6.21
Vardas227      Pavarde227     6.18              6.74
Vardas222      Pavarde222     6.17              6.48
Vardas260      Pavarde260     6.17              6.35
Vardas757      Pavarde757     6.17              6.17
Vardas545      Pavarde545     6.16              6.16
Vardas411      Pavarde411     6.16              6.16
Vardas703      Pavarde703     6.16              6.16
Vardas792      Pavarde792     6.16              6.23
Vardas820      Pavarde820     6.15              6.25
Vardas771      Pavarde771     6.15              6.32
Vardas300      Pavarde300     6.13              6.09
Vardas842      Pavarde842     6.12              6.12
Vardas671      Pavarde671     6.11              6.13
Vardas514      Pavarde514     6.10              6.13
Vardas897      Pavarde897     6.09              6.17
Vardas44       Pavarde44      6.09              6.09
Vardas499      Pavarde499     6.08              6.26
Vardas518      Pavarde518     6.08              6.14
Vardas568      Pavarde568     6.08              6.19
Vardas95       Pavarde95      6.08              6.60
Vardas272      Pavarde272     6.07              6.02
Vardas477      Pavarde477     6.06              6.48
Vardas882      Pavarde882     6.06              6.10
Vardas152      Pavarde152     6.05              6.39
Vardas345      Pavarde345     6.04              6.08
Vardas769      Pavarde769     6.04              5.58
Vardas208      Pavarde208     6.04              6.08
Vardas962      Pavarde962     6.02              5.76
Vardas166      Pavarde166     6.01              5.72
Vardas171      Pavarde171     6.00              6.00
Vardas872      Pavarde872     6.00              6.33
Vardas625      Pavarde625     6.00              6.18
Vardas196      Pavarde196     5.99              6.14
Vardas270      Pavarde270     5.99              6.18
Vardas322      Pavarde322     5.98              5.81
Vardas555      Pavarde555     5.97              6.29
Vardas346      Pavarde346     5.95              5.86
Vardas554      Pavarde554     5.95              6.04
Vardas495      Pavarde495     5.95              5.95
Vardas565      Pavarde565     5.95              5.58
Vardas453      Pavarde453     5.95              5.82
Vardas469      Pavarde469     5.94              6.28
Vardas363      Pavarde363     5.93              5.84
Vardas615      Pavarde615     5.91              5.51
Vardas419      Pavarde419     5.89              5.79
Vardas185      Pavarde185     5.89              6.21
Vardas750      Pavarde750     5.88              6.44
Vardas464      Pavarde464     5.88              6.17
Vardas862      Pavarde862     5.87              6.08
Vardas927      Pavarde927     5.85              5.80
Vardas368      Pavarde368     5.85              5.82
Vardas147      Pavarde147     5.85              5.44
Vardas115      Pavarde115     5.85              5.85
Vardas297      Pavarde297     5.82              6.04
Vardas890      Pavarde890     5.82              5.82
Vardas331      Pavarde331     5.81              6.02
Vardas863      Pavarde863     5.81              5.65
Vardas398      Pavarde398     5.80              5.84
Vardas484      Pavarde484     5.80              5.86
Vardas687      Pavarde687     5.80              6.23
Vardas386      Pavarde386     5.80              6.08
Vardas982      Pavarde982     5.79              5.86
Vardas940      Pavarde940     5.79              5.80
Vardas229      Pavarde229     5.79              5.91
Vardas149      Pavarde149     5.79              6.12
Vardas264      Pavarde264     5.78              5.90
Vardas638      Pavarde638     5.78              5.96
Vardas538      Pavarde538     5.78              5.78
Vardas325      Pavarde325     5.77              5.68
Vardas619      Pavarde619     5.77              5.55
Vardas90       Pavarde90      5.77              6.30
Vardas836      Pavarde836     5.76              5.27
Vardas475      Pavarde475     5.76              5.50
Vardas817      Pavarde817     5.75              5.66
Vardas630      Pavarde630     5.75              5.84
Vardas794      Pavarde794     5.74              6.04
Vardas136      Pavarde136     5.74              5.83
Vardas546      Pavarde546     5.74              5.91
Vardas53       Pavarde53      5.73              5.47
Vardas953      Pavarde953     5.73              5.44
Vardas670      Pavarde670     5.70              5.38
Vardas155      Pavarde155     5.69              6.22
Vardas833      Pavarde833     5.69              5.85
Vardas621      Pavarde621     5.68              6.17
Vardas597      Pavarde597     5.67              5.16
Vardas159      Pavarde159     5.67              5.98
Vardas995      Pavarde995     5.67              5.25
Vardas126      Pavarde126     5.64              5.75
Vardas813      Pavarde813     5.64              5.51
Vardas523      Pavarde523     5.63              5.65
Vardas920      Pavarde920     5.62              5.26
Vardas326      Pavarde326     5.62              5.72
Vardas634      Pavarde634     5.61              5.74
Vardas575      Pavarde575     5.61              5.61
Vardas566      Pavarde566     5.61              5.56
Vardas938      Pavarde938     5.61              5.33
Vardas520      Pavarde520     5.59              5.59
Vardas516      Pavarde516     5.58              5.63
Vardas717      Pavarde717     5.58              6.20
Vardas311      Pavarde311     5.56              5.50
Vardas873      Pavarde873     5.56              5.79
Vardas445      Pavarde445     5.56              5.86
Vardas408      Pavarde408     5.55              5.55
Vardas928      Pavarde928     5.54              5.74
Vardas217      Pavarde217     5.54              5.29
Vardas188      Pavarde188     5.53              5.42
Vardas254      Pavarde254     5.52              5.40
Vardas866      Pavarde866     5.51              5.44
Vardas92       Pavarde92      5.51              5.57
Vardas984      Pavarde984     5.51              5.45
Vardas195      Pavarde195     5.50              5.32
Vardas744      Pavarde744     5.50              5.54
Vardas329      Pavarde329     5.50              5.32
Vardas441      Pavarde441     5.49              5.28
Vardas370      Pavarde370     5.49              5.49
Vardas221      Pavarde221     5.49              5.72
Vardas478      Pavarde478     5.48              5.59
Vardas943      Pavarde943     5.48              5.38
Vardas455      Pavarde455     5.47              5.17
Vardas367      Pavarde367     5.46              5.22
Vardas200      Pavarde200     5.45              5.40
Vardas239      Pavarde239     5.44              5.56
Vardas992      Pavarde992     5.44              5.98
Vardas143      Pavarde143     5.43              5.18
Vardas599      Pavarde599     5.42              5.57
Vardas954      Pavarde954     5.42              5.71
Vardas810      Pavarde810     5.41              5.37
Vardas936      Pavarde936     5.41              5.32
Vardas258      Pavarde258     5.41              5.36
Vardas983      Pavarde983     5.40              5.09
Vardas112      Pavarde112     5.40              5.12
Vardas178      Pavarde178     5.40              5.36
Vardas437      Pavarde437     5.38              5.18
Vardas465      Pavarde465     5.38              5.24
Vardas130      Pavarde130     5.38              5.30
Vardas823      Pavarde823     5.38              5.16
Vardas593      Pavarde593     5.37              5.30
Vardas540      Pavarde540     5.37              5.47
Vardas454      Pavarde454     5.37              5.75
Vardas618      Pavarde618     5.37              5.38
Vardas304      Pavarde304     5.36              5.19
Vardas29       Pavarde29      5.35              5.35
Vardas678      Pavarde678     5.35              5.35
Vardas49       Pavarde49      5.35              5.08
Vardas841      Pavarde841     5.34              5.31
Vardas979      Pavarde979     5.33              5.50
Vardas283      Pavarde283     5.33              4.98
Vardas899      Pavarde899     5.32              5.22
Vardas802      Pavarde802     5.31              5.52
Vardas718      Pavarde718     5.31              5.51
Vardas77       Pavarde77      5.30              5.29
Vardas765      Pavarde765     5.30              5.41
Vardas679      Pavarde679     5.30              5.30
Vardas827      Pavarde827     5.30              5.27
Vardas594      Pavarde594     5.29              4.69
Vardas154      Pavarde154     5.29              5.38
Vardas181      Pavarde181     5.28              4.95
Vardas404      Pavarde404     5.28              5.00
Vardas415      Pavarde415     5.27              5.02
Vardas487      Pavarde487     5.26              5.21
Vardas733      Pavarde733     5.26              5.35
Vardas533      Pavarde533     5.25              5.10
Vardas580      Pavarde580     5.24              5.24
Vardas869      Pavarde869     5.24              5.24
Vardas330      Pavarde330     5.22              5.17
Vardas268      Pavarde268     5.22              5.38
Vardas361      Pavarde361     5.21              5.00
Vardas413      Pavarde413     5.21              5.10
Vardas830      Pavarde830     5.20              5.20
Vardas172      Pavarde172     5.18              5.37
Vardas525      Pavarde525     5.18              4.88
Vardas148      Pavarde148     5.18              5.19
Vardas30       Pavarde30      5.17              5.17
Vardas47       Pavarde47      5.16              5.38
Vardas779      Pavarde779     5.16              5.16
Vardas274      Pavarde274     5.16              5.30
Vardas118      Pavarde118     5.15              5.15
Vardas768      Pavarde768     5.15              5.15
Vardas489      Pavarde489     5.15              5.22
Vardas592      Pavarde592     5.14              5.14
Vardas14       Pavarde14      5.14              5.14
Vardas803      Pavarde803     5.13              5.13
Vardas72       Pavarde72      5.13              4.95
Vardas472      Pavarde472     5.12              5.15
Vardas15       Pavarde15      5.12              4.98
Vardas298      Pavarde298     5.10              5.10
Vardas214      Pavarde214     5.09              5.06
Vardas795      Pavarde795     5.09              5.10
Vardas511      Pavarde511     5.09              5.23
Vardas814      Pavarde814     5.08              5.08
Vardas373      Pavarde373     5.08              5.08
Vardas279      Pavarde279     5.07              5.18
Vardas276      Pavarde276     5.07              5.53
Vardas832      Pavarde832     5.07              5.07
Vardas537      Pavarde537     5.06              5.38
Vardas31       Pavarde31      5.05              5.41
Vardas135      Pavarde135     5.05              4.93
Vardas811      Pavarde811     5.04              5.39
Vardas275      Pavarde275     5.04              5.12
Vardas89       Pavarde89      5.03              5.03
Vardas293      Pavarde293     5.02              5.34
Vardas131      Pavarde131     5.02              5.02
Vardas251      Pavarde251     5.02              5.02
Vardas905      Pavarde905     5.02              5.07
Vardas302      Pavarde302     5.01              4.94
Vardas942      Pavarde942     5.01              5.01
Vardas620      Pavarde620     5.01              5.44
Vardas901      Pavarde901     5.00              5.32
Vardas572      Pavarde572     5.00              5.52
Vardas748      Pavarde748     4.98              5.29
Vardas906      Pavarde906     4.97              5.23
Vardas383      Pavarde383     4.96              5.07
Vardas975      Pavarde975     4.96              5.33
Vardas351      Pavarde351     4.94              5.22
Vardas674      Pavarde674     4.90              5.18
Vardas881      Pavarde881     4.89              5.03
Vardas110      Pavarde110     4.85              5.03
Vardas856      Pavarde856     4.80              5.27
Vardas584      Pavarde584     4.78              5.33
Vardas457      Pavarde457     4.74              5.01
